link,title,item_no,image_list,description,compatibility_list,variants
https://eurolub.com/en/hvlp-iso-vg-32-p4267/,HVLP ISO-VG 32,514XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/766427_514xxx.png'],['<p>Hydraulic oil based on selective raffinates of the highest quality that contain active ingredients designed to improve restistance to oxdiation and corrosion. High viscosity index.</p>'],"['<li>ISO 11158</li>', '<li>SIS SS 155434</li>', '<li>ASTM D6158</li>', '<li>SAE MS 1004</li>', '<li>JCMAS P041 HK</li>', '<li>GM LS 2</li>', '<li>AIST 127+136</li>', '<li>Denison Filterability TP 02100</li>']","[{'sku': '514020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/893192_514020.png', 'name': '20 L'}, {'sku': '514060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/992628_514060.png', 'name': '60 L'}, {'sku': '514208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/77153_514208.png', 'name': '208 L'}, {'sku': '514100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/70084_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/hlp-d-iso-vg-32-p4221/,HLP-D ISO-VG 32,503XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/371156_503xxx.png'],['<p>Hydraulic oil that contains active ingredients designed to improve resistance to oxidation and corrosion. Contains detergent additives.</p>'],[],"[{'sku': '503020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/420243_503020.png', 'name': '20 L'}, {'sku': '503060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/856208_503060.png', 'name': '60 L'}, {'sku': '503208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/984860_503208.png', 'name': '208 L'}, {'sku': '503100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/295167_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/hlp-d-iso-vg-68-p4262/,HLP-D ISO-VG 68,513XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/297936_513xxx.png'],['<p>Hydraulic oil that contains active ingredients designed to improve resistance to oxidation and corrosion. Contains detergent additives.</p>'],[],"[{'sku': '513020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/809098_513020.png', 'name': '20 L'}, {'sku': '513060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/144674_513060.png', 'name': '60 L'}, {'sku': '513208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/334437_513208.png', 'name': '208 L'}, {'sku': '513100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/360214_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/hvlp-iso-vg-68-p4277/,HVLP ISO-VG 68,516XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/565195_516xxx.png'],['<p>Hydraulic oil based on selective raffinates of the highest quality that contain active ingredients designed to improve restistance to oxdiation and corrosion. High viscosity index.</p>'],"['<li>ISO 11158</li>', '<li>SIS SS 155434</li>', '<li>ASTM D6158</li>', '<li>SAE MS 1004</li>', '<li>JCMAS P041 HK</li>', '<li>GM LS 2</li>', '<li>AIST 127+136</li>', '<li>Denison Filterability TP 02100</li>']","[{'sku': '516020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/749884_516020.png', 'name': '20 L'}, {'sku': '516060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/141014_516060.png', 'name': '60 L'}, {'sku': '516208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/201349_516208.png', 'name': '208 L'}, {'sku': '516100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/43876_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/mehrbereichshydraulikoel-10w-30-p3904/,Multi-Grade Hydraulic Oil 10W-30,320XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/183803_320xxx.png'],['<p>All-purpose oil for hydraulic systems that helps improve hydraulic oil economy.</p>'],[],"[{'sku': '320020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/123431_320020.png', 'name': '20 L'}, {'sku': '320060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/181206_320060.png', 'name': '60 L'}, {'sku': '320208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/555011_320208.png', 'name': '208 L'}, {'sku': '320100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/221526_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/hlp-iso-vg-100-p4247/,HLP ISO-VG 100,509XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/962895_509xxx.png'],['<p>Hydraulic oil based on selective raffinates of the highest quality that contain active ingredients designed to improve restistance ot oxidation and corrosion.</p>'],"['<li>ISO 11158</li>', '<li>AIST 127+136</li>', '<li>ASTM D6158</li>', '<li>SAE MS 1004</li>', '<li>JCMAS P041 HK</li>', '<li>GM LS 2</li>']","[{'sku': '509020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/419560_509020.png', 'name': '20 L'}, {'sku': '509060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/529764_509060.png', 'name': '60 L'}, {'sku': '509208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/679592_509208.png', 'name': '208 L'}, {'sku': '509100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/864274_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/lagerfit-ep-2-la-p4373/,Lagerfit EP 2 LA,709XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/576272_709xxx.png'],['<p>Lithium-saponified long-lasting EP grease for lubricating friction and anti-friction bearings. Operating temperature: -25°C to + 120°C. Colour: brown.</p>'],[],"[{'sku': '709005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/419186_709005.png', 'name': '5 KG'}, {'sku': '709015', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/773347_709015.png', 'name': '15 KG'}, {'sku': '709025', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/252729_709025.png', 'name': '25 KG'}, {'sku': '709050', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/48239_709050.png', 'name': '50 KG'}, {'sku': '709180', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/433503_709180.png', 'name': '180 KG'}, {'sku': '709400', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/732003_709400.png', 'name': '400 g'}, {'sku': '709500', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/930292_709500.png', 'name': '500 g'}]"
https://eurolub.com/en/langzeitfett-lzf-2-blau-p4386/,Long-Life Grease LZF 2 Blue,719XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/566787_719xxx.png'],[],[],"[{'sku': '719005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/225128_719005.png', 'name': '5 KG'}, {'sku': '719015', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/630810_719015.png', 'name': '15 KG'}, {'sku': '719025', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/451469_719025.png', 'name': '25 KG'}, {'sku': '719400', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/300158_719400.png', 'name': '400 g'}, {'sku': '719500', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/62578_719500.png', 'name': '500 g'}]"
https://eurolub.com/en/top-3000-p4359/,TOP 3000,707XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/263638_707xxx.png'],"['<p>Yellow, specially calcium-saponified long-lasting EP grease that was developed to withstand high pressure stress and vibrations. Extremely adhesive. Exceptionally water-resistant. Operating temperature: -30°C up to +110°C. Colour: yellow.</p>']",[],"[{'sku': '707015', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/995629_707015.png', 'name': '15 KG'}, {'sku': '707500', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/303593_707500.png', 'name': '500 g'}]"
https://eurolub.com/en/gearfit-ep-00-000-p4365/,Gearfit EP 00-000,708XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/803823_708xxx.png'],['<p>For central lubrication systems in commercial vehicles and units that are operated outdoors and whose lines are laid over long distances (lithium-saponified). Operating temperature: -50°C up to +120°C. Colour: green.</p>'],[],"[{'sku': '708005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/95503_708005.png', 'name': '5 KG'}, {'sku': '708015', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/753462_708015.png', 'name': '15 KG'}, {'sku': '708025', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/589795_708025.png', 'name': '25 KG'}, {'sku': '708180', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/326274_708180.png', 'name': '180 KG'}, {'sku': '708900', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/353547_708900.png', 'name': '900 g'}]"
